id,Exited
15000,0.046366267
15001,0.022083435
15002,0.01939504
15003,0.5358357
15004,0.22923017
15005,0.07213407
15006,0.009113677
15007,0.021734806
15008,0.099226974
15009,0.008931488
15010,0.11404454
15011,0.92112434
15012,0.018864138
15013,0.09228247
15014,0.024630593
15015,0.35466358
15016,0.1677504
15017,0.35620403
15018,0.026714098
15019,0.908745
15020,0.055899654
15021,0.30223382
15022,0.6212558
15023,0.020454694
15024,0.018254627
15025,0.8337376
15026,0.027346207
15027,0.20789248
15028,0.19111705
15029,0.019910878
15030,0.01566872
15031,0.050584275
15032,0.019799694
15033,0.80123776
15034,0.54620856
15035,0.67513335
15036,0.08861284
15037,0.009376444
15038,0.017972501
15039,0.026268745
15040,0.46995306
15041,0.08986092
15042,0.30721852
15043,0.045484707
15044,0.020948904
15045,0.54225874
15046,0.31633025
15047,0.55329263
15048,0.67086047
15049,0.009365533
15050,0.15493232
15051,0.27762026
15052,0.009534851
15053,0.011513842
15054,0.03581446
15055,0.017044168
15056,0.059940577
15057,0.02097808
15058,0.34476253
15059,0.009966889
15060,0.013257839
15061,0.022204442
15062,0.118866555
15063,0.1590207
15064,0.15125486
15065,0.08389286
15066,0.6715841
15067,0.09803669
15068,0.009342346
15069,0.04106553
15070,0.106604025
15071,0.009386536
15072,0.049289174
15073,0.38087526
15074,0.16679488
15075,0.022078201
15076,0.027957438
15077,0.18810898
15078,0.892527
15079,0.017972501
15080,0.11752719
15081,0.19683367
15082,0.05885184
15083,0.10843931
15084,0.008641604
15085,0.1950722
15086,0.024618788
15087,0.009590611
15088,0.31354666
15089,0.2799616
15090,0.94788545
15091,0.018748794
15092,0.96369547
15093,0.66491103
15094,0.01045276
15095,0.2644348
15096,0.4091593
15097,0.07829419
15098,0.027616236
15099,0.017372077
15100,0.025694428
15101,0.12181927
15102,0.10724606
15103,0.05222848
15104,0.053599
15105,0.03664331
15106,0.021379309
15107,0.7896748
15108,0.9029925
15109,0.025695572
15110,0.019051041
15111,0.09383908
15112,0.56268305
15113,0.2034463
15114,0.23689485
15115,0.062065814
15116,0.30978256
15117,0.10627251
15118,0.008939058
15119,0.018426502
15120,0.13753392
15121,0.01892114
15122,0.021747451
15123,0.010472875
15124,0.26332402
15125,0.2799616
15126,0.09337541
15127,0.10073248
15128,0.024049016
15129,0.12243483
15130,0.10193915
15131,0.56410587
15132,0.73001444
15133,0.010108199
15134,0.4888803
15135,0.016447652
15136,0.02192499
15137,0.41690022
15138,0.96730417
15139,0.027110215
15140,0.049092617
15141,0.34750724
15142,0.20351872
15143,0.2147593
15144,0.72010994
15145,0.17467909
15146,0.2953061
15147,0.015976224
15148,0.6449363
15149,0.25577155
15150,0.021747451
15151,0.18251954
15152,0.43724263
15153,0.12649909
15154,0.055614065
15155,0.077447996
15156,0.897066
15157,0.014733374
15158,0.07011718
15159,0.76603067
15160,0.07177296
15161,0.020432323
15162,0.9012795
15163,0.25322542
15164,0.5516957
15165,0.16686061
15166,0.18447231
15167,0.046108413
15168,0.9064729
15169,0.046073645
15170,0.3197988
15171,0.047308877
15172,0.037600987
15173,0.017097617
15174,0.015229538
15175,0.019940054
15176,0.3559698
15177,0.5186168
15178,0.013906773
15179,0.2748651
15180,0.015906103
15181,0.06357646
15182,0.047101416
15183,0.018028544
15184,0.18220018
15185,0.25146195
15186,0.023726108
15187,0.04120813
15188,0.23271416
15189,0.02564218
15190,0.4815361
15191,0.019716654
15192,0.3240432
15193,0.20645645
15194,0.063092135
15195,0.020173559
15196,0.010607777
15197,0.18282215
15198,0.449633
15199,0.94638276
15200,0.046449527
15201,0.49679255
15202,0.29954606
15203,0.0178452
15204,0.12560676
15205,0.35838637
15206,0.016095527
15207,0.12116978
15208,0.02155489
15209,0.67748773
15210,0.021280708
15211,0.017050836
15212,0.7238235
15213,0.73918104
15214,0.70438135
15215,0.64495045
15216,0.019208055
15217,0.04798966
15218,0.037078023
15219,0.12254356
15220,0.008948095
15221,0.26792753
15222,0.1215387
15223,0.20973018
15224,0.020035923
15225,0.09909043
15226,0.8953594
